Gene stable ID,Gene stable ID version,Transcript stable ID,Transcript stable ID version
ENSG00000231535,ENSG00000231535.7,ENST00000654222,ENST00000654222.1
ENSG00000231535,ENSG00000231535.7,ENST00000665487,ENST00000665487.1
ENSG00000231535,ENSG00000231535.7,ENST00000655607,ENST00000655607.1
ENSG00000231535,ENSG00000231535.7,ENST00000653660,ENST00000653660.1
ENSG00000234652,ENSG00000234652.1,ENST00000455855,ENST00000455855.1
ENSG00000216777,ENSG00000216777.1,ENST00000404428,ENST00000404428.1
ENSG00000176679,ENSG00000176679.9,ENST00000321217,ENST00000321217.5
ENSG00000176679,ENSG00000176679.9,ENST00000559055,ENST00000559055.2
ENSG00000232927,ENSG00000232927.1,ENST00000427677,ENST00000427677.1
ENSG00000225653,ENSG00000225653.1,ENST00000458209,ENST00000458209.1
ENSG00000286050,ENSG00000286050.1,ENST00000650970,ENST00000650970.1
ENSG00000218410,ENSG00000218410.1,ENST00000405035,ENST00000405035.1
ENSG00000229518,ENSG00000229518.1,ENST00000439651,ENST00000439651.1
ENSG00000229308,ENSG00000229308.1,ENST00000426699,ENST00000426699.1
ENSG00000252900,ENSG00000252900.1,ENST00000517091,ENST00000517091.1
ENSG00000225878,ENSG00000225878.1,ENST00000436888,ENST00000436888.1
ENSG00000277930,ENSG00000277930.1,ENST00000622595,ENST00000622595.1
ENSG00000277930,ENSG00000277930.1,ENST00000618284,ENST00000618284.1
ENSG00000099715,ENSG00000099715.14,ENST00000333703,ENST00000333703.8
ENSG00000099715,ENSG00000099715.14,ENST00000622698,ENST00000622698.4
ENSG00000099715,ENSG00000099715.14,ENST00000620615,ENST00000620615.4
ENSG00000099715,ENSG00000099715.14,ENST00000621505,ENST00000621505.1
ENSG00000099715,ENSG00000099715.14,ENST00000215473,ENST00000215473.7
ENSG00000099715,ENSG00000099715.14,ENST00000362095,ENST00000362095.9
ENSG00000099715,ENSG00000099715.14,ENST00000400457,ENST00000400457.3
ENSG00000252468,ENSG00000252468.1,ENST00000516659,ENST00000516659.1
ENSG00000231341,ENSG00000231341.1,ENST00000430062,ENST00000430062.1
ENSG00000235001,ENSG00000235001.3,ENST00000422633,ENST00000422633.1
ENSG00000214207,ENSG00000214207.2,ENST00000388836,ENST00000388836.3
ENSG00000278585,ENSG00000278585.1,ENST00000615757,ENST00000615757.1
ENSG00000235175,ENSG00000235175.1,ENST00000411983,ENST00000411983.1
ENSG00000285470,ENSG00000285470.1,ENST00000645906,ENST00000645906.1
ENSG00000237195,ENSG00000237195.1,ENST00000430307,ENST00000430307.1
ENSG00000250204,ENSG00000250204.2,ENST00000451467,ENST00000451467.1
ENSG00000250204,ENSG00000250204.2,ENST00000442790,ENST00000442790.2
ENSG00000168757,ENSG00000168757.12,ENST00000429039,ENST00000429039.5
ENSG00000168757,ENSG00000168757.12,ENST00000320701,ENST00000320701.8
ENSG00000168757,ENSG00000168757.12,ENST00000383042,ENST00000383042.1
ENSG00000168757,ENSG00000168757.12,ENST00000470569,ENST00000470569.1
ENSG00000168757,ENSG00000168757.12,ENST00000464674,ENST00000464674.1
ENSG00000234830,ENSG00000234830.8,ENST00000451062,ENST00000451062.1
ENSG00000234830,ENSG00000234830.8,ENST00000452103,ENST00000452103.5
ENSG00000234830,ENSG00000234830.8,ENST00000505707,ENST00000505707.3
ENSG00000238235,ENSG00000238235.1,ENST00000442607,ENST00000442607.1
ENSG00000275352,ENSG00000275352.1,ENST00000613408,ENST00000613408.1
ENSG00000234583,ENSG00000234583.1,ENST00000418461,ENST00000418461.1
ENSG00000235094,ENSG00000235094.3,ENST00000445200,ENST00000445200.2
ENSG00000223744,ENSG00000223744.1,ENST00000418671,ENST00000418671.1
ENSG00000229643,ENSG00000229643.2,ENST00000439525,ENST00000439525.1
ENSG00000229643,ENSG00000229643.2,ENST00000652050,ENST00000652050.1
ENSG00000129816,ENSG00000129816.5,ENST00000250776,ENST00000250776.5
ENSG00000212856,ENSG00000212856.6,ENST00000450591,ENST00000450591.1
ENSG00000212856,ENSG00000212856.6,ENST00000651733,ENST00000651733.1
ENSG00000237563,ENSG00000237563.2,ENST00000421353,ENST00000421353.2
ENSG00000147753,ENSG00000147753.9,ENST00000457100,ENST00000457100.5
ENSG00000147753,ENSG00000147753.9,ENST00000276770,ENST00000276770.8
ENSG00000147753,ENSG00000147753.9,ENST00000449828,ENST00000449828.1
ENSG00000185700,ENSG00000185700.10,ENST00000455570,ENST00000455570.5
ENSG00000185700,ENSG00000185700.10,ENST00000328819,ENST00000328819.4
ENSG00000235895,ENSG00000235895.1,ENST00000425857,ENST00000425857.1
ENSG00000232620,ENSG00000232620.1,ENST00000450329,ENST00000450329.1
ENSG00000224953,ENSG00000224953.1,ENST00000413200,ENST00000413200.1
ENSG00000274365,ENSG00000274365.1,ENST00000610687,ENST00000610687.1
ENSG00000233634,ENSG00000233634.1,ENST00000433995,ENST00000433995.1
ENSG00000099721,ENSG00000099721.14,ENST00000651267,ENST00000651267.1
ENSG00000099721,ENSG00000099721.14,ENST00000383036,ENST00000383036.1
ENSG00000099721,ENSG00000099721.14,ENST00000215479,ENST00000215479.10
ENSG00000237701,ENSG00000237701.1,ENST00000431631,ENST00000431631.1
ENSG00000092377,ENSG00000092377.15,ENST00000383032,ENST00000383032.6
ENSG00000092377,ENSG00000092377.15,ENST00000355162,ENST00000355162.6
ENSG00000092377,ENSG00000092377.15,ENST00000346432,ENST00000346432.3
ENSG00000092377,ENSG00000092377.15,ENST00000651523,ENST00000651523.1
ENSG00000273906,ENSG00000273906.1,ENST00000620503,ENST00000620503.1
ENSG00000232583,ENSG00000232583.1,ENST00000434155,ENST00000434155.1
ENSG00000099725,ENSG00000099725.14,ENST00000528056,ENST00000528056.5
ENSG00000099725,ENSG00000099725.14,ENST00000533551,ENST00000533551.5
ENSG00000099725,ENSG00000099725.14,ENST00000495163,ENST00000495163.1
ENSG00000099725,ENSG00000099725.14,ENST00000472666,ENST00000472666.1
ENSG00000252633,ENSG00000252633.1,ENST00000516824,ENST00000516824.1
ENSG00000251996,ENSG00000251996.1,ENST00000516187,ENST00000516187.1
ENSG00000252155,ENSG00000252155.1,ENST00000516346,ENST00000516346.1
ENSG00000252472,ENSG00000252472.1,ENST00000516663,ENST00000516663.1
ENSG00000275280,ENSG00000275280.1,ENST00000619838,ENST00000619838.1
ENSG00000238073,ENSG00000238073.1,ENST00000457961,ENST00000457961.1
ENSG00000223422,ENSG00000223422.1,ENST00000439805,ENST00000439805.1
ENSG00000236435,ENSG00000236435.1,ENST00000421279,ENST00000421279.1
ENSG00000236690,ENSG00000236690.2,ENST00000421675,ENST00000421675.1
ENSG00000234795,ENSG00000234795.10,ENST00000651261,ENST00000651261.1
ENSG00000234795,ENSG00000234795.10,ENST00000455527,ENST00000455527.5
ENSG00000234795,ENSG00000234795.10,ENST00000442584,ENST00000442584.2
ENSG00000234795,ENSG00000234795.10,ENST00000652723,ENST00000652723.1
ENSG00000237048,ENSG00000237048.4,ENST00000651670,ENST00000651670.1
ENSG00000237048,ENSG00000237048.4,ENST00000413466,ENST00000413466.3
ENSG00000237048,ENSG00000237048.4,ENST00000653671,ENST00000653671.1
ENSG00000237048,ENSG00000237048.4,ENST00000664089,ENST00000664089.1
ENSG00000278854,ENSG00000278854.1,ENST00000621243,ENST00000621243.1
ENSG00000215603,ENSG00000215603.4,ENST00000415010,ENST00000415010.1
ENSG00000273863,ENSG00000273863.1,ENST00000614118,ENST00000614118.1
ENSG00000244246,ENSG00000244246.1,ENST00000451913,ENST00000451913.1
ENSG00000229745,ENSG00000229745.1,ENST00000422208,ENST00000422208.1
ENSG00000241200,ENSG00000241200.1,ENST00000425158,ENST00000425158.1
ENSG00000239893,ENSG00000239893.2,ENST00000651148,ENST00000651148.1
ENSG00000239893,ENSG00000239893.2,ENST00000439586,ENST00000439586.1
ENSG00000227204,ENSG00000227204.1,ENST00000425544,ENST00000425544.1
ENSG00000225809,ENSG00000225809.1,ENST00000418221,ENST00000418221.1
ENSG00000215601,ENSG00000215601.3,ENST00000431340,ENST00000431340.1
ENSG00000224634,ENSG00000224634.1,ENST00000447526,ENST00000447526.1
ENSG00000223955,ENSG00000223955.1,ENST00000417434,ENST00000417434.1
ENSG00000234179,ENSG00000234179.1,ENST00000454315,ENST00000454315.1
ENSG00000226529,ENSG00000226529.1,ENST00000445453,ENST00000445453.1
ENSG00000234850,ENSG00000234850.1,ENST00000452458,ENST00000452458.1
ENSG00000227830,ENSG00000227830.1,ENST00000432201,ENST00000432201.1
ENSG00000216824,ENSG00000216824.2,ENST00000403990,ENST00000403990.2
ENSG00000275866,ENSG00000275866.1,ENST00000621514,ENST00000621514.1
ENSG00000286217,ENSG00000286217.2,ENST00000651511,ENST00000651511.1
ENSG00000286217,ENSG00000286217.2,ENST00000650816,ENST00000650816.1
ENSG00000286217,ENSG00000286217.2,ENST00000651700,ENST00000651700.1
ENSG00000286217,ENSG00000286217.2,ENST00000650791,ENST00000650791.1
ENSG00000286217,ENSG00000286217.2,ENST00000651793,ENST00000651793.1
ENSG00000286217,ENSG00000286217.2,ENST00000652539,ENST00000652539.1
ENSG00000286217,ENSG00000286217.2,ENST00000413486,ENST00000413486.2
ENSG00000286217,ENSG00000286217.2,ENST00000657784,ENST00000657784.1
ENSG00000233699,ENSG00000233699.2,ENST00000438677,ENST00000438677.2
ENSG00000232419,ENSG00000232419.1,ENST00000453955,ENST00000453955.1
ENSG00000180910,ENSG00000180910.8,ENST00000253470,ENST00000253470.4
ENSG00000180910,ENSG00000180910.8,ENST00000651367,ENST00000651367.1
ENSG00000228207,ENSG00000228207.1,ENST00000432613,ENST00000432613.1
ENSG00000173357,ENSG00000173357.12,ENST00000455422,ENST00000455422.5
ENSG00000173357,ENSG00000173357.12,ENST00000311828,ENST00000311828.7
ENSG00000273731,ENSG00000273731.1,ENST00000614700,ENST00000614700.1
ENSG00000230025,ENSG00000230025.1,ENST00000434308,ENST00000434308.1
ENSG00000231988,ENSG00000231988.1,ENST00000453312,ENST00000453312.1
ENSG00000232235,ENSG00000232235.1,ENST00000454543,ENST00000454543.1
ENSG00000224408,ENSG00000224408.1,ENST00000438971,ENST00000438971.1
ENSG00000238154,ENSG00000238154.1,ENST00000424401,ENST00000424401.1
ENSG00000232924,ENSG00000232924.1,ENST00000420090,ENST00000420090.1
ENSG00000197038,ENSG00000197038.6,ENST00000382670,ENST00000382670.3
ENSG00000275310,ENSG00000275310.1,ENST00000610661,ENST00000610661.1
ENSG00000232808,ENSG00000232808.1,ENST00000434487,ENST00000434487.1
ENSG00000233803,ENSG00000233803.9,ENST00000426950,ENST00000426950.6
ENSG00000233803,ENSG00000233803.9,ENST00000383008,ENST00000383008.1
ENSG00000233803,ENSG00000233803.9,ENST00000466036,ENST00000466036.1
ENSG00000233803,ENSG00000233803.9,ENST00000482082,ENST00000482082.1
ENSG00000233803,ENSG00000233803.9,ENST00000640033,ENST00000640033.1
ENSG00000225560,ENSG00000225560.6,ENST00000426661,ENST00000426661.5
ENSG00000225560,ENSG00000225560.6,ENST00000432394,ENST00000432394.1
ENSG00000225560,ENSG00000225560.6,ENST00000450145,ENST00000450145.2
ENSG00000229549,ENSG00000229549.9,ENST00000287721,ENST00000287721.13
ENSG00000229549,ENSG00000229549.9,ENST00000383000,ENST00000383000.1
ENSG00000229549,ENSG00000229549.9,ENST00000477879,ENST00000477879.1
ENSG00000229549,ENSG00000229549.9,ENST00000436159,ENST00000436159.2
ENSG00000229549,ENSG00000229549.9,ENST00000383005,ENST00000383005.7
ENSG00000228383,ENSG00000228383.7,ENST00000433321,ENST00000433321.5
ENSG00000228383,ENSG00000228383.7,ENST00000436801,ENST00000436801.5
ENSG00000286120,ENSG00000286120.1,ENST00000432892,ENST00000432892.3
ENSG00000188656,ENSG00000188656.8,ENST00000431358,ENST00000431358.2
ENSG00000237802,ENSG00000237802.7,ENST00000442145,ENST00000442145.5
ENSG00000237802,ENSG00000237802.7,ENST00000450658,ENST00000450658.5
ENSG00000286173,ENSG00000286173.1,ENST00000420524,ENST00000420524.4
ENSG00000228927,ENSG00000228927.10,ENST00000457222,ENST00000457222.6
ENSG00000228927,ENSG00000228927.10,ENST00000424594,ENST00000424594.1
ENSG00000228927,ENSG00000228927.10,ENST00000491844,ENST00000491844.1
ENSG00000228927,ENSG00000228927.10,ENST00000469322,ENST00000469322.1
ENSG00000228927,ENSG00000228927.10,ENST00000440483,ENST00000440483.4
ENSG00000225516,ENSG00000225516.7,ENST00000615605,ENST00000615605.1
ENSG00000225516,ENSG00000225516.7,ENST00000619815,ENST00000619815.4
ENSG00000225516,ENSG00000225516.7,ENST00000423213,ENST00000423213.4
ENSG00000258992,ENSG00000258992.7,ENST00000451548,ENST00000451548.6
ENSG00000258992,ENSG00000258992.7,ENST00000423647,ENST00000423647.6
ENSG00000274196,ENSG00000274196.5,ENST00000616275,ENST00000616275.4
ENSG00000274196,ENSG00000274196.5,ENST00000622692,ENST00000622692.2
ENSG00000238074,ENSG00000238074.5,ENST00000440215,ENST00000440215.4
ENSG00000230066,ENSG00000230066.6,ENST00000427622,ENST00000427622.5
ENSG00000230066,ENSG00000230066.6,ENST00000414596,ENST00000414596.5
ENSG00000230066,ENSG00000230066.6,ENST00000618346,ENST00000618346.2
ENSG00000270073,ENSG00000270073.1,ENST00000448518,ENST00000448518.1
ENSG00000234803,ENSG00000234803.8,ENST00000448006,ENST00000448006.5
ENSG00000234803,ENSG00000234803.8,ENST00000418016,ENST00000418016.5
ENSG00000234803,ENSG00000234803.8,ENST00000598351,ENST00000598351.3
ENSG00000236424,ENSG00000236424.7,ENST00000428845,ENST00000428845.6
ENSG00000236424,ENSG00000236424.7,ENST00000444056,ENST00000444056.1
ENSG00000236424,ENSG00000236424.7,ENST00000489397,ENST00000489397.1
ENSG00000236424,ENSG00000236424.7,ENST00000495839,ENST00000495839.1
ENSG00000224336,ENSG00000224336.2,ENST00000421178,ENST00000421178.2
ENSG00000236786,ENSG00000236786.1,ENST00000457163,ENST00000457163.1
ENSG00000231436,ENSG00000231436.1,ENST00000449381,ENST00000449381.1
ENSG00000234110,ENSG00000234110.1,ENST00000429463,ENST00000429463.1
ENSG00000226223,ENSG00000226223.1,ENST00000449843,ENST00000449843.1
ENSG00000232617,ENSG00000232617.1,ENST00000426129,ENST00000426129.1
ENSG00000183385,ENSG00000183385.9,ENST00000329684,ENST00000329684.7
ENSG00000183385,ENSG00000183385.9,ENST00000426035,ENST00000426035.1
ENSG00000147761,ENSG00000147761.8,ENST00000447655,ENST00000447655.5
ENSG00000147761,ENSG00000147761.8,ENST00000276779,ENST00000276779.8
ENSG00000147761,ENSG00000147761.8,ENST00000415405,ENST00000415405.1
ENSG00000228890,ENSG00000228890.1,ENST00000430228,ENST00000430228.1
ENSG00000212855,ENSG00000212855.5,ENST00000417072,ENST00000417072.1
ENSG00000129845,ENSG00000129845.5,ENST00000250805,ENST00000250805.5
ENSG00000224075,ENSG00000224075.2,ENST00000650665,ENST00000650665.1
ENSG00000224075,ENSG00000224075.2,ENST00000445253,ENST00000445253.1
ENSG00000228379,ENSG00000228379.1,ENST00000449963,ENST00000449963.1
ENSG00000229208,ENSG00000229208.1,ENST00000434454,ENST00000434454.1
ENSG00000274445,ENSG00000274445.1,ENST00000612764,ENST00000612764.1
ENSG00000231874,ENSG00000231874.3,ENST00000441642,ENST00000441642.1
ENSG00000187657,ENSG00000187657.6,ENST00000338964,ENST00000338964.6
ENSG00000239225,ENSG00000239225.1,ENST00000452889,ENST00000452889.1
ENSG00000234950,ENSG00000234950.1,ENST00000447105,ENST00000447105.1
ENSG00000236718,ENSG00000236718.4,ENST00000651645,ENST00000651645.1
ENSG00000236718,ENSG00000236718.4,ENST00000429799,ENST00000429799.1
ENSG00000243643,ENSG00000243643.1,ENST00000450910,ENST00000450910.1
ENSG00000225685,ENSG00000225685.1,ENST00000456541,ENST00000456541.1
ENSG00000225685,ENSG00000225685.1,ENST00000426936,ENST00000426936.1
ENSG00000278478,ENSG00000278478.1,ENST00000430032,ENST00000430032.3
ENSG00000251766,ENSG00000251766.1,ENST00000515957,ENST00000515957.1
ENSG00000252289,ENSG00000252289.1,ENST00000516480,ENST00000516480.1
ENSG00000231411,ENSG00000231411.1,ENST00000446466,ENST00000446466.1
ENSG00000226061,ENSG00000226061.1,ENST00000455560,ENST00000455560.1
ENSG00000237447,ENSG00000237447.1,ENST00000425026,ENST00000425026.1
ENSG00000225840,ENSG00000225840.2,ENST00000445125,ENST00000445125.2
ENSG00000251705,ENSG00000251705.1,ENST00000515896,ENST00000515896.1
ENSG00000273858,ENSG00000273858.1,ENST00000622087,ENST00000622087.1
ENSG00000273693,ENSG00000273693.1,ENST00000618128,ENST00000618128.1
ENSG00000271365,ENSG00000271365.1,ENST00000605663,ENST00000605663.1
ENSG00000271309,ENSG00000271309.1,ENST00000604370,ENST00000604370.1
ENSG00000270570,ENSG00000270570.1,ENST00000603467,ENST00000603467.1
ENSG00000274231,ENSG00000274231.1,ENST00000619901,ENST00000619901.1
ENSG00000278212,ENSG00000278212.2,ENST00000620700,ENST00000620700.2
ENSG00000278212,ENSG00000278212.2,ENST00000652671,ENST00000652671.1
ENSG00000278212,ENSG00000278212.2,ENST00000651211,ENST00000651211.1
ENSG00000274502,ENSG00000274502.1,ENST00000618763,ENST00000618763.1
ENSG00000274162,ENSG00000274162.1,ENST00000616231,ENST00000616231.1
ENSG00000258567,ENSG00000258567.1,ENST00000555130,ENST00000555130.1
ENSG00000259154,ENSG00000259154.1,ENST00000557360,ENST00000557360.1
ENSG00000259029,ENSG00000259029.1,ENST00000553347,ENST00000553347.1
ENSG00000258991,ENSG00000258991.1,ENST00000557448,ENST00000557448.1
ENSG00000270455,ENSG00000270455.1,ENST00000603738,ENST00000603738.1
ENSG00000183704,ENSG00000183704.7,ENST00000331172,ENST00000331172.7
ENSG00000270242,ENSG00000270242.1,ENST00000605584,ENST00000605584.1
ENSG00000275828,ENSG00000275828.1,ENST00000614446,ENST00000614446.1
ENSG00000225433,ENSG00000225433.3,ENST00000455231,ENST00000455231.3
ENSG00000224567,ENSG00000224567.2,ENST00000426062,ENST00000426062.2
ENSG00000271375,ENSG00000271375.1,ENST00000604178,ENST00000604178.1
ENSG00000234385,ENSG00000234385.1,ENST00000452257,ENST00000452257.1
ENSG00000215583,ENSG00000215583.3,ENST00000421118,ENST00000421118.1
ENSG00000235649,ENSG00000235649.2,ENST00000420610,ENST00000420610.1
ENSG00000206159,ENSG00000206159.11,ENST00000651802,ENST00000651802.1
ENSG00000206159,ENSG00000206159.11,ENST00000651835,ENST00000651835.1
ENSG00000206159,ENSG00000206159.11,ENST00000382966,ENST00000382966.5
ENSG00000206159,ENSG00000206159.11,ENST00000493160,ENST00000493160.5
ENSG00000206159,ENSG00000206159.11,ENST00000357871,ENST00000357871.6
ENSG00000206159,ENSG00000206159.11,ENST00000382963,ENST00000382963.5
ENSG00000206159,ENSG00000206159.11,ENST00000382965,ENST00000382965.2
ENSG00000236477,ENSG00000236477.1,ENST00000438550,ENST00000438550.1
ENSG00000232226,ENSG00000232226.2,ENST00000398758,ENST00000398758.2
ENSG00000243980,ENSG00000243980.3,ENST00000488394,ENST00000488394.3
ENSG00000232730,ENSG00000232730.1,ENST00000435433,ENST00000435433.1
ENSG00000224060,ENSG00000224060.3,ENST00000420443,ENST00000420443.1
ENSG00000224060,ENSG00000224060.3,ENST00000430152,ENST00000430152.1
ENSG00000225117,ENSG00000225117.2,ENST00000443820,ENST00000443820.2
ENSG00000227447,ENSG00000227447.1,ENST00000381172,ENST00000381172.3
ENSG00000114374,ENSG00000114374.13,ENST00000457658,ENST00000457658.6
ENSG00000114374,ENSG00000114374.13,ENST00000440408,ENST00000440408.5
ENSG00000114374,ENSG00000114374.13,ENST00000651177,ENST00000651177.1
ENSG00000114374,ENSG00000114374.13,ENST00000417071,ENST00000417071.1
ENSG00000114374,ENSG00000114374.13,ENST00000338981,ENST00000338981.7
ENSG00000114374,ENSG00000114374.13,ENST00000493168,ENST00000493168.1
ENSG00000114374,ENSG00000114374.13,ENST00000426564,ENST00000426564.6
ENSG00000114374,ENSG00000114374.13,ENST00000453031,ENST00000453031.1
ENSG00000114374,ENSG00000114374.13,ENST00000471409,ENST00000471409.1
ENSG00000226863,ENSG00000226863.1,ENST00000434773,ENST00000434773.1
ENSG00000233774,ENSG00000233774.1,ENST00000430517,ENST00000430517.1
ENSG00000286009,ENSG00000286009.2,ENST00000652216,ENST00000652216.1
ENSG00000286009,ENSG00000286009.2,ENST00000651143,ENST00000651143.2
ENSG00000286009,ENSG00000286009.2,ENST00000662422,ENST00000662422.1
ENSG00000286009,ENSG00000286009.2,ENST00000656670,ENST00000656670.1
ENSG00000228411,ENSG00000228411.1,ENST00000418290,ENST00000418290.1
ENSG00000067048,ENSG00000067048.17,ENST00000360160,ENST00000360160.8
ENSG00000067048,ENSG00000067048.17,ENST00000454054,ENST00000454054.5
ENSG00000067048,ENSG00000067048.17,ENST00000336079,ENST00000336079.8
ENSG00000067048,ENSG00000067048.17,ENST00000493363,ENST00000493363.1
ENSG00000067048,ENSG00000067048.17,ENST00000440554,ENST00000440554.1
ENSG00000067048,ENSG00000067048.17,ENST00000469101,ENST00000469101.1
ENSG00000067048,ENSG00000067048.17,ENST00000472510,ENST00000472510.5
ENSG00000067048,ENSG00000067048.17,ENST00000463199,ENST00000463199.1
ENSG00000067048,ENSG00000067048.17,ENST00000495478,ENST00000495478.1
ENSG00000234059,ENSG00000234059.1,ENST00000412870,ENST00000412870.1
ENSG00000224035,ENSG00000224035.1,ENST00000446621,ENST00000446621.1
ENSG00000235462,ENSG00000235462.1,ENST00000452645,ENST00000452645.1
ENSG00000235462,ENSG00000235462.1,ENST00000439217,ENST00000439217.1
ENSG00000223915,ENSG00000223915.1,ENST00000428060,ENST00000428060.1
ENSG00000183878,ENSG00000183878.15,ENST00000331397,ENST00000331397.8
ENSG00000183878,ENSG00000183878.15,ENST00000624098,ENST00000624098.3
ENSG00000183878,ENSG00000183878.15,ENST00000362096,ENST00000362096.8
ENSG00000183878,ENSG00000183878.15,ENST00000329134,ENST00000329134.9
ENSG00000183878,ENSG00000183878.15,ENST00000478900,ENST00000478900.5
ENSG00000183878,ENSG00000183878.15,ENST00000474365,ENST00000474365.1
ENSG00000183878,ENSG00000183878.15,ENST00000382893,ENST00000382893.2
ENSG00000183878,ENSG00000183878.15,ENST00000479713,ENST00000479713.1
ENSG00000183878,ENSG00000183878.15,ENST00000538878,ENST00000538878.5
ENSG00000183878,ENSG00000183878.15,ENST00000540140,ENST00000540140.5
ENSG00000183878,ENSG00000183878.15,ENST00000382896,ENST00000382896.8
ENSG00000183878,ENSG00000183878.15,ENST00000537580,ENST00000537580.5
ENSG00000183878,ENSG00000183878.15,ENST00000545955,ENST00000545955.5
ENSG00000183878,ENSG00000183878.15,ENST00000617789,ENST00000617789.4
ENSG00000183878,ENSG00000183878.15,ENST00000618474,ENST00000618474.4
ENSG00000183878,ENSG00000183878.15,ENST00000612274,ENST00000612274.4
ENSG00000215414,ENSG00000215414.4,ENST00000400275,ENST00000400275.2
ENSG00000154620,ENSG00000154620.6,ENST00000284856,ENST00000284856.4
ENSG00000241859,ENSG00000241859.7,ENST00000652544,ENST00000652544.1
ENSG00000241859,ENSG00000241859.7,ENST00000472227,ENST00000472227.5
ENSG00000241859,ENSG00000241859.7,ENST00000430079,ENST00000430079.5
ENSG00000241859,ENSG00000241859.7,ENST00000460561,ENST00000460561.1
ENSG00000129864,ENSG00000129864.6,ENST00000250825,ENST00000250825.4
ENSG00000129862,ENSG00000129862.7,ENST00000250823,ENST00000250823.5
ENSG00000235451,ENSG00000235451.1,ENST00000458328,ENST00000458328.1
ENSG00000223517,ENSG00000223517.1,ENST00000435111,ENST00000435111.1
ENSG00000165246,ENSG00000165246.14,ENST00000643089,ENST00000643089.1
ENSG00000165246,ENSG00000165246.14,ENST00000471252,ENST00000471252.1
ENSG00000165246,ENSG00000165246.14,ENST00000382872,ENST00000382872.5
ENSG00000165246,ENSG00000165246.14,ENST00000355905,ENST00000355905.6
ENSG00000165246,ENSG00000165246.14,ENST00000382868,ENST00000382868.5
ENSG00000165246,ENSG00000165246.14,ENST00000476359,ENST00000476359.1
ENSG00000165246,ENSG00000165246.14,ENST00000645399,ENST00000645399.1
ENSG00000165246,ENSG00000165246.14,ENST00000481089,ENST00000481089.1
ENSG00000165246,ENSG00000165246.14,ENST00000339174,ENST00000339174.9
ENSG00000165246,ENSG00000165246.14,ENST00000413217,ENST00000413217.1
ENSG00000226555,ENSG00000226555.1,ENST00000455254,ENST00000455254.1
ENSG00000228787,ENSG00000228787.1,ENST00000434164,ENST00000434164.1
ENSG00000236131,ENSG00000236131.1,ENST00000428342,ENST00000428342.1
ENSG00000227949,ENSG00000227949.1,ENST00000423569,ENST00000423569.1
ENSG00000224518,ENSG00000224518.2,ENST00000427212,ENST00000427212.2
ENSG00000234620,ENSG00000234620.1,ENST00000421058,ENST00000421058.1
ENSG00000227166,ENSG00000227166.1,ENST00000412493,ENST00000412493.1
ENSG00000252689,ENSG00000252689.1,ENST00000516880,ENST00000516880.1
ENSG00000252173,ENSG00000252173.1,ENST00000516364,ENST00000516364.1
ENSG00000252323,ENSG00000252323.1,ENST00000516514,ENST00000516514.1
ENSG00000286201,ENSG00000286201.1,ENST00000651678,ENST00000651678.1
ENSG00000228518,ENSG00000228518.1,ENST00000451854,ENST00000451854.1
ENSG00000271595,ENSG00000271595.1,ENST00000604289,ENST00000604289.1
ENSG00000224989,ENSG00000224989.2,ENST00000421205,ENST00000421205.2
